age_in_days,asset.host_name,asset.id,asset.ipv4_addresses,asset.name,asset.operating_systems,definition.cve,definition.description,definition.family,definition.id,definition.name,definition.solution,definition.vpr.score,definition.vulnerability_published,definition.workaround,definition.workaround_published,definition.workaround_type,first_observed,id,last_seen,port,protocol,resurfaced_date,severity,state,vuln_age,vuln_sla_date
72,hqcoreswan01.example.net,asset-93810,10.189.27.174,HQCORESWAN01,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9935,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,9.586938832629416,2025-06-05,Disable affected service if not required.,2025-12-22,Mitigation,2025-12-31,vuln-198246,2026-02-04,23,ICMP,,Critical,ACTIVE,155,2026-05-06
333,hqcoreswan01.example.net,asset-93810,10.180.140.108,HQCORESWAN01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4611,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.649209046283854,2025-08-18,Disable affected service if not required.,2026-01-04,Mitigation,2025-11-28,vuln-832052,2026-02-02,80,UDP,,High,ACTIVE,40,2026-04-24
53,hqcoreswan01.example.net,asset-93810,10.24.98.25,HQCORESWAN01,Cisco IOS OS,CVE-2023-20269,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6881,Cisco ASA and FTD Software Remote Access VPN,Upgrade to the latest firmware version.,7.84749436634746,2025-03-04,Disable affected service if not required.,2025-08-25,Mitigation,2025-12-27,vuln-865179,2026-02-02,8443,TCP,,High,ACTIVE,97,2026-05-02
322,hqcoreswan01.example.net,asset-93810,10.159.227.221,HQCORESWAN01,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6925,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,6.0773521452567625,2025-12-03,Disable affected service if not required.,2025-12-15,Mitigation,2025-11-10,vuln-910620,2026-02-03,22,TCP,,Medium,ACTIVE,26,2026-04-13
312,hqcoreswan02.example.net,asset-46434,10.163.44.137,HQCORESWAN02,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5010,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.46340249376193,2025-06-27,Disable affected service if not required.,2025-08-22,Mitigation,2025-08-18,vuln-330283,2026-01-31,80,TCP,,Critical,ACTIVE,59,2026-03-16
162,hqcoreswan02.example.net,asset-46434,10.103.69.17,HQCORESWAN02,Cisco IOS OS,CVE-2021-1473,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4456,Cisco Small Business Router Management Interface,Upgrade to the latest firmware version.,4.713136124185545,2025-03-23,Disable affected service if not required.,2025-07-30,Mitigation,2025-11-14,vuln-787277,2026-02-02,443,ICMP,,Low,ACTIVE,118,2026-04-28
72,hqcoreswan02.example.net,asset-46434,10.64.191.144,HQCORESWAN02,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9830,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.562741608522936,2025-03-14,Disable affected service if not required.,2025-06-02,Mitigation,2025-08-11,vuln-518801,2026-02-03,23,TCP,,Critical,ACTIVE,131,2026-04-06
25,hqcoreswan02.example.net,asset-46434,10.221.29.40,HQCORESWAN02,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3621,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.892079364362964,2025-06-05,Disable affected service if not required.,2025-12-06,Mitigation,2025-10-01,vuln-500156,2026-02-01,443,ICMP,,High,ACTIVE,65,2026-04-02
349,hqcoreswan02.example.net,asset-46434,10.185.30.175,HQCORESWAN02,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9797,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.75087779959161,2025-02-13,Disable affected service if not required.,2025-07-17,Mitigation,2025-12-10,vuln-407757,2026-02-02,23,UDP,,Medium,ACTIVE,1,2026-03-22
257,hqcoreswan02.example.net,asset-46434,10.196.46.130,HQCORESWAN02,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2743,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,7.170518569836767,2025-08-08,Disable affected service if not required.,2025-04-23,Mitigation,2025-11-18,vuln-260263,2026-02-03,23,ICMP,,Medium,ACTIVE,136,2026-03-10
